component_name,smiles
cf40823a-4b86-415c-b841-a9ead84d9fcf,CCCCC(C)C
6c3c9b13-07ee-434a-9d7e-e2e37b83a023,CCCCCCC(C(C(C)C)CCCCCC)CC(C(C)C)CCCCC
0c047bc0-0041-45f7-9222-d2ec5fd2df38,CCCCCCCCC(CCCCCC)CC(C)CCCCCCCC
7bc3fcf4-7f3f-4ff6-9bdd-a62fc39828d3,CCCCCCC(CCCCCCCC)CCCCCCCC
240187a5-a150-4a92-9e53-8d964dedf3fb,CC1=CC2=NNN=C2C=C1.C(CO)N(CCO)CCO
9c948f48-0165-4291-8db6-bfe73a534785,CCCCCC(C(OC)=O)CCCC
a9c1305e-3832-4ddc-a6c4-24e3a649d2e6,CC1CCCCC1C
18cc80c2-b2dd-4565-b54c-7b55924b5b43,O=S(C1=CC=C([C18H21])C=C1)(O)=O
435358c0-8f5b-4e51-8f44-726273e02756,CCCCCCCCC(C(CC)CCCCC)CC(C)CCCC
088905d1-991f-479d-a9d1-fab9abb0b47d,CCCCCCC(C(C)CCC)CC(C)CCCCCC
2b2de7e7-be33-4505-ab93-50234b79f528,CCCCCCCCC(CCCCC)CCCCCC
6b4f217d-2c74-4b84-ae57-7e6f79a6d6ad,CCCCCCCC(C)C(CCCCC)C(C)CCCCC
e206e647-919b-4d8e-b840-e79dbd46eb27,OC1=CC=C(CCCC)C=C1C(O[Ca]OC(C2=CC(CCCC)=CC=C2O)=O)=O
1ec8ea9b-f26c-4ff9-bd23-3f69ba63151a,OC1=C(C(C)(C)C)C=C(CCC(OCC)=O)C=C1C(C)(C)C
12c7dfaa-3b44-445e-9dcd-9986cd64588e,O=C1CC(B(C(C)(C)C)C(C)(C)C)C(N1CCNCCN2C(CC(B(C(C)(C)C)C(C)(C)C)C2=O)=O)=O
96666028-8268-41c0-92e4-cb08346a232d,CCCCCCCCN(C1=CC=CC=C1)C2=CC=CC=C2CCCC
0a3f8afa-864c-4d53-83fb-714ef27dc481,O=C(C1=CC=CC=C1)N2N=NC3=C2C=CC=C3
22c43eee-8a3a-4bdb-a18d-6e474b6624de,CCCCC
24254cdb-5033-424f-aa96-91ae4ec0a49f,CCC(C)CC
e468b13a-e145-4e03-a68e-1bdbecec3aae,CCCCC(C(OCC)=O)C(OCC)=O
7e8e3dc7-49ac-4a5b-9039-a0a47791ad25,CC(C(OCCCC)=O)C(OCCCC)=O
67a553eb-b6d1-424c-ba9b-278d580f533f,CCC(CC(C)OCCCC)Cl
869b636d-df53-4c36-b905-16cdbc60d3d9,O=C(CC)OCCCCCOC
9a8b4758-a712-4114-a28f-775e5f7f519c,COC(C(C)(CC)C)=O
93d2b1f6-debe-4743-b7b7-dbddbb0f7151,CCCCCC
a07715b4-8762-491c-817c-170633ec220e,CCC(C(OC[CH2](C)CCCCCCC[CH2])=O)C
cb3bbf9b-6a34-46c1-bce8-9c7b5e2cbb50,CCC(C(OC)=O)CC
8be3ddcb-86a6-4105-9b83-808e68ef362f,O=C(OC)C(C)(CCC)C
1864d2ec-c58d-498d-98e8-4cf2cbff06d0,CCCC/C=C\C(CCCCCCC)=C\C(CCCCC)C
89793562-e28e-42ef-ad98-82a01f8b2790,O=C(OC)C(C)(C)CC
6dbe4ce9-8115-48e2-97aa-bf2c3bf0d479,CC(C)(C)C(OC)=O
3a03d432-d849-417d-92e7-9a604187a096,CCCC(C)CCC
91e31c1f-e7f6-401c-bf10-9c2e604f89a4,CC(C)(C)CC(C)(C)C
6bebd954-7bea-4204-a650-2c7f36907998,CCC(C)CCC
0962b43d-14b3-4bc5-b7b4-34500629ff48,CCC(C)(C)CC
729d3181-7f59-41d5-bb82-7a33396b3876,CCCCCCC
c33ebc5c-0935-4c6b-a489-f1404f88be22,CCC(C)CCCC
60a7c8d1-3789-4abd-8305-f93b36bcdbe3,CC(C)(C)C(C)C(C)C
7a1c1a96-1ec2-4582-b69b-f5f66e453dea,CC(C)CCCCC
